location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Kaufingerstraße, München;2020-04-19 00:00:00 +0200;Sunday;6382;20;rain;
Kaufingerstraße, München;2020-04-20 00:00:00 +0200;Monday;9807;17;partly-cloudy-day;
Kaufingerstraße, München;2020-04-21 00:00:00 +0200;Tuesday;9980;19;partly-cloudy-day;
Kaufingerstraße, München;2020-04-22 00:00:00 +0200;Wednesday;9988;21;clear-day;
Kaufingerstraße, München;2020-04-23 00:00:00 +0200;Thursday;10353;20;clear-day;
Kaufingerstraße, München;2020-04-24 00:00:00 +0200;Friday;9148;21;partly-cloudy-day;
Kaufingerstraße, München;2020-04-25 00:00:00 +0200;Saturday;10193;20;partly-cloudy-day;
Kaufingerstraße, München;2020-04-26 00:00:00 +0200;Sunday;7322;20;clear-day;
Kaufingerstraße, München;2020-04-27 00:00:00 +0200;Monday;23944;20;rain;
Kaufingerstraße, München;2020-04-28 00:00:00 +0200;Tuesday;18009;18;rain;
Kaufingerstraße, München;2020-04-29 00:00:00 +0200;Wednesday;16812;12;rain;
Kaufingerstraße, München;2020-04-30 00:00:00 +0200;Thursday;22815;16;rain;
Kaufingerstraße, München;2020-05-01 00:00:00 +0200;Friday;6259;14;rain;
Kaufingerstraße, München;2020-05-02 00:00:00 +0200;Saturday;31375;12;rain;
Kaufingerstraße, München;2020-05-03 00:00:00 +0200;Sunday;9209;15;rain;
Kaufingerstraße, München;2020-05-04 00:00:00 +0200;Monday;29812;17;rain;
Kaufingerstraße, München;2020-05-05 00:00:00 +0200;Tuesday;27715;13;rain;
Kaufingerstraße, München;2020-05-06 00:00:00 +0200;Wednesday;31586;15;clear-day;
Kaufingerstraße, München;2020-05-07 00:00:00 +0200;Thursday;32916;21;clear-day;
Kaufingerstraße, München;2020-05-08 00:00:00 +0200;Friday;36148;25;partly-cloudy-day;
Kaufingerstraße, München;2020-05-09 00:00:00 +0200;Saturday;48109;25;rain;
Kaufingerstraße, München;2020-05-10 00:00:00 +0200;Sunday;8656;21;rain;
Kaufingerstraße, München;2020-05-11 00:00:00 +0200;Monday;28485;18;rain;
Kaufingerstraße, München;2020-05-12 00:00:00 +0200;Tuesday;35017;11;rain;
Kaufingerstraße, München;2020-05-13 00:00:00 +0200;Wednesday;24665;10;rain;
Kaufingerstraße, München;2020-05-14 00:00:00 +0200;Thursday;31295;11;rain;
Kaufingerstraße, München;2020-05-15 00:00:00 +0200;Friday;34125;11;rain;
Kaufingerstraße, München;2020-05-16 00:00:00 +0200;Saturday;61951;17;partly-cloudy-day;
Kaufingerstraße, München;2020-05-17 00:00:00 +0200;Sunday;13086;21;clear-day;
Kaufingerstraße, München;2020-05-18 00:00:00 +0200;Monday;43778;23;clear-day;
Kaufingerstraße, München;2020-05-19 00:00:00 +0200;Tuesday;41052;24;clear-day;
Kaufingerstraße, München;2020-05-20 00:00:00 +0200;Wednesday;43159;22;partly-cloudy-day;
Kaufingerstraße, München;2020-05-21 00:00:00 +0200;Thursday;13898;22;partly-cloudy-day;
Kaufingerstraße, München;2020-05-22 00:00:00 +0200;Friday;57755;25;partly-cloudy-day;
