location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Ehrenstraße (Mitte), Köln;2020-05-03 00:00:00 +0200;Sunday;5693;18;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-05-04 00:00:00 +0200;Monday;12975;16;rain;
Ehrenstraße (Mitte), Köln;2020-05-05 00:00:00 +0200;Tuesday;14353;16;clear-day;
Ehrenstraße (Mitte), Köln;2020-05-06 00:00:00 +0200;Wednesday;13844;19;clear-day;
Ehrenstraße (Mitte), Köln;2020-05-07 00:00:00 +0200;Thursday;13412;22;clear-day;
Ehrenstraße (Mitte), Köln;2020-05-08 00:00:00 +0200;Friday;16173;24;cloudy;
Ehrenstraße (Mitte), Köln;2020-05-09 00:00:00 +0200;Saturday;19327;23;cloudy;
Ehrenstraße (Mitte), Köln;2020-05-10 00:00:00 +0200;Sunday;4086;22;rain;
Ehrenstraße (Mitte), Köln;2020-05-11 00:00:00 +0200;Monday;12074;13;rain;
Ehrenstraße (Mitte), Köln;2020-05-12 00:00:00 +0200;Tuesday;13412;12;clear-day;
Ehrenstraße (Mitte), Köln;2020-05-13 00:00:00 +0200;Wednesday;13778;15;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-05-14 00:00:00 +0200;Thursday;15206;14;clear-day;
Ehrenstraße (Mitte), Köln;2020-05-15 00:00:00 +0200;Friday;18064;17;clear-day;
Ehrenstraße (Mitte), Köln;2020-05-16 00:00:00 +0200;Saturday;23081;18;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-05-17 00:00:00 +0200;Sunday;6573;19;clear-day;
Ehrenstraße (Mitte), Köln;2020-05-18 00:00:00 +0200;Monday;16072;23;clear-day;
Ehrenstraße (Mitte), Köln;2020-05-19 00:00:00 +0200;Tuesday;756;23;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-05-20 00:00:00 +0200;Wednesday;15151;23;clear-day;
Ehrenstraße (Mitte), Köln;2020-05-21 00:00:00 +0200;Thursday;7228;27;clear-day;
Ehrenstraße (Mitte), Köln;2020-05-22 00:00:00 +0200;Friday;22059;26;rain;
Ehrenstraße (Mitte), Köln;2020-05-23 00:00:00 +0200;Saturday;24701;18;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-05-24 00:00:00 +0200;Sunday;5533;17;rain;
Ehrenstraße (Mitte), Köln;2020-05-25 00:00:00 +0200;Monday;16276;20;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-05-26 00:00:00 +0200;Tuesday;17630;23;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-05-27 00:00:00 +0200;Wednesday;17710;24;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-05-28 00:00:00 +0200;Thursday;18451;22;clear-day;
Ehrenstraße (Mitte), Köln;2020-05-29 00:00:00 +0200;Friday;21446;23;clear-day;
Ehrenstraße (Mitte), Köln;2020-05-30 00:00:00 +0200;Saturday;205;24;clear-day;
Ehrenstraße (Mitte), Köln;2020-05-30 00:00:00 +0200;Saturday;27272;;;
Ehrenstraße (Mitte), Köln;2020-05-31 00:00:00 +0200;Sunday;8173;23;partly-cloudy-day;
Ehrenstraße (Mitte), Köln;2020-06-01 00:00:00 +0200;Monday;7740;27;partly-cloudy-day;
