location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-08 00:00:00 +0200;Wednesday;3129;23;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-09 00:00:00 +0200;Thursday;3259;19;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-10 00:00:00 +0200;Friday;3133;;;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-11 00:00:00 +0200;Saturday;2865;17;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-12 00:00:00 +0200;Sunday;2560;25;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-13 00:00:00 +0200;Monday;2163;13;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-14 00:00:00 +0200;Tuesday;3159;11;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-15 00:00:00 +0200;Wednesday;3063;16;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-16 00:00:00 +0200;Thursday;3681;19;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-17 00:00:00 +0200;Friday;3445;18;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-18 00:00:00 +0200;Saturday;3324;18;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-19 00:00:00 +0200;Sunday;3506;15;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-20 00:00:00 +0200;Monday;4200;17;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-21 00:00:00 +0200;Tuesday;4099;18;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-22 00:00:00 +0200;Wednesday;5073;20;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-23 00:00:00 +0200;Thursday;4961;22;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-24 00:00:00 +0200;Friday;4562;22;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-25 00:00:00 +0200;Saturday;4990;16;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-26 00:00:00 +0200;Sunday;2957;17;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-27 00:00:00 +0200;Monday;5153;23;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-28 00:00:00 +0200;Tuesday;4738;24;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-29 00:00:00 +0200;Wednesday;4065;18;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-04-30 00:00:00 +0200;Thursday;4750;18;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-01 00:00:00 +0200;Friday;3398;18;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-02 00:00:00 +0200;Saturday;5171;15;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-03 00:00:00 +0200;Sunday;2919;15;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-04 00:00:00 +0200;Monday;4440;13;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-05 00:00:00 +0200;Tuesday;5038;11;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-06 00:00:00 +0200;Wednesday;6279;17;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-07 00:00:00 +0200;Thursday;5907;16;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-08 00:00:00 +0200;Friday;3569;22;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-09 00:00:00 +0200;Saturday;7248;24;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-10 00:00:00 +0200;Sunday;2566;24;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-11 00:00:00 +0200;Monday;3332;17;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-12 00:00:00 +0200;Tuesday;7280;12;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-13 00:00:00 +0200;Wednesday;7029;15;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-14 00:00:00 +0200;Thursday;7314;14;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-15 00:00:00 +0200;Friday;8018;17;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-16 00:00:00 +0200;Saturday;9102;17;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-17 00:00:00 +0200;Sunday;3670;19;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-18 00:00:00 +0200;Monday;7472;22;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-19 00:00:00 +0200;Tuesday;7486;21;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-20 00:00:00 +0200;Wednesday;8451;21;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-21 00:00:00 +0200;Thursday;4187;22;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-22 00:00:00 +0200;Friday;9350;23;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-23 00:00:00 +0200;Saturday;9449;20;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-24 00:00:00 +0200;Sunday;2442;17;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-25 00:00:00 +0200;Monday;7107;15;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-26 00:00:00 +0200;Tuesday;8892;21;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-27 00:00:00 +0200;Wednesday;8376;23;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-28 00:00:00 +0200;Thursday;8576;21;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-29 00:00:00 +0200;Friday;9889;21;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-30 00:00:00 +0200;Saturday;55;19;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-30 00:00:00 +0200;Saturday;12106;;;
Kurfürstendamm Nordseite (Ost), Berlin;2020-05-31 00:00:00 +0200;Sunday;4832;23;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-01 00:00:00 +0200;Monday;4766;25;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-02 00:00:00 +0200;Tuesday;8884;27;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-03 00:00:00 +0200;Wednesday;8905;25;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-04 00:00:00 +0200;Thursday;7809;25;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-05 00:00:00 +0200;Friday;9290;18;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-06 00:00:00 +0200;Saturday;12051;19;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-07 00:00:00 +0200;Sunday;4185;20;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-08 00:00:00 +0200;Monday;9596;22;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-09 00:00:00 +0200;Tuesday;9342;23;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-10 00:00:00 +0200;Wednesday;9584;23;cloudy;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-11 00:00:00 +0200;Thursday;9304;22;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-12 00:00:00 +0200;Friday;11684;27;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-13 00:00:00 +0200;Saturday;8101;31;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-14 00:00:00 +0200;Sunday;4616;25;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-15 00:00:00 +0200;Monday;9286;26;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-16 00:00:00 +0200;Tuesday;8821;27;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-17 00:00:00 +0200;Wednesday;8432;28;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-18 00:00:00 +0200;Thursday;9040;27;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-19 00:00:00 +0200;Friday;9342;21;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-20 00:00:00 +0200;Saturday;9208;18;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-21 00:00:00 +0200;Sunday;6038;22;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-22 00:00:00 +0200;Monday;9020;26;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-23 00:00:00 +0200;Tuesday;9855;25;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-24 00:00:00 +0200;Wednesday;9409;26;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-25 00:00:00 +0200;Thursday;9604;28;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-26 00:00:00 +0200;Friday;9935;29;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-27 00:00:00 +0200;Saturday;9925;31;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-28 00:00:00 +0200;Sunday;4047;28;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-29 00:00:00 +0200;Monday;9773;24;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-06-30 00:00:00 +0200;Tuesday;9844;23;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-01 00:00:00 +0200;Wednesday;8986;22;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-02 00:00:00 +0200;Thursday;11033;25;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-03 00:00:00 +0200;Friday;11725;24;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-04 00:00:00 +0200;Saturday;13484;25;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-05 00:00:00 +0200;Sunday;4679;27;cloudy;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-06 00:00:00 +0200;Monday;10583;21;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-07 00:00:00 +0200;Tuesday;10986;20;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-08 00:00:00 +0200;Wednesday;10784;19;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-09 00:00:00 +0200;Thursday;8898;19;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-10 00:00:00 +0200;Friday;10165;24;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-11 00:00:00 +0200;Saturday;14967;21;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-12 00:00:00 +0200;Sunday;5708;22;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-13 00:00:00 +0200;Monday;11760;24;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-14 00:00:00 +0200;Tuesday;10730;29;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-15 00:00:00 +0200;Wednesday;7209;21;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-16 00:00:00 +0200;Thursday;10897;21;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-17 00:00:00 +0200;Friday;11810;22;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-18 00:00:00 +0200;Saturday;14097;27;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-19 00:00:00 +0200;Sunday;177;30;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-19 00:00:00 +0200;Sunday;4603;;;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-20 00:00:00 +0200;Monday;11737;25;rain;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-21 00:00:00 +0200;Tuesday;12482;23;clear-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-22 00:00:00 +0200;Wednesday;12310;22;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-23 00:00:00 +0200;Thursday;13185;23;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-24 00:00:00 +0200;Friday;12188;28;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-25 00:00:00 +0200;Saturday;14021;26;partly-cloudy-day;
Kurfürstendamm Nordseite (Ost), Berlin;2020-07-26 00:00:00 +0200;Sunday;5509;24;rain;
