location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Planken (Ost), Mannheim;2020-04-10 00:00:00 +0200;Friday;2673;;;
Planken (Ost), Mannheim;2020-04-11 00:00:00 +0200;Saturday;4559;24;clear-day;
Planken (Ost), Mannheim;2020-04-12 00:00:00 +0200;Sunday;2036;24;partly-cloudy-day;
Planken (Ost), Mannheim;2020-04-13 00:00:00 +0200;Monday;2108;17;rain;
Planken (Ost), Mannheim;2020-04-14 00:00:00 +0200;Tuesday;5100;12;clear-day;
Planken (Ost), Mannheim;2020-04-15 00:00:00 +0200;Wednesday;5055;19;clear-day;
Planken (Ost), Mannheim;2020-04-16 00:00:00 +0200;Thursday;5155;25;partly-cloudy-day;
Planken (Ost), Mannheim;2020-04-17 00:00:00 +0200;Friday;4650;25;partly-cloudy-day;
Planken (Ost), Mannheim;2020-04-18 00:00:00 +0200;Saturday;4481;24;rain;
Planken (Ost), Mannheim;2020-04-19 00:00:00 +0200;Sunday;3173;21;clear-day;
Planken (Ost), Mannheim;2020-04-20 00:00:00 +0200;Monday;12382;21;clear-day;
Planken (Ost), Mannheim;2020-04-21 00:00:00 +0200;Tuesday;10618;23;partly-cloudy-day;
Planken (Ost), Mannheim;2020-04-22 00:00:00 +0200;Wednesday;10093;24;clear-day;
Planken (Ost), Mannheim;2020-04-23 00:00:00 +0200;Thursday;10742;23;clear-day;
Planken (Ost), Mannheim;2020-04-24 00:00:00 +0200;Friday;9895;25;partly-cloudy-day;
Planken (Ost), Mannheim;2020-04-25 00:00:00 +0200;Saturday;14698;18;clear-day;
Planken (Ost), Mannheim;2020-04-26 00:00:00 +0200;Sunday;4482;21;clear-day;
Planken (Ost), Mannheim;2020-04-27 00:00:00 +0200;Monday;11002;24;clear-day;
Planken (Ost), Mannheim;2020-04-28 00:00:00 +0200;Tuesday;9705;19;rain;
Planken (Ost), Mannheim;2020-04-29 00:00:00 +0200;Wednesday;9922;19;rain;
Planken (Ost), Mannheim;2020-04-30 00:00:00 +0200;Thursday;9559;16;rain;
Planken (Ost), Mannheim;2020-05-01 00:00:00 +0200;Friday;2631;14;rain;
Planken (Ost), Mannheim;2020-05-02 00:00:00 +0200;Saturday;18677;15;rain;
Planken (Ost), Mannheim;2020-05-03 00:00:00 +0200;Sunday;4603;19;partly-cloudy-day;
Planken (Ost), Mannheim;2020-05-04 00:00:00 +0200;Monday;12722;20;rain;
Planken (Ost), Mannheim;2020-05-05 00:00:00 +0200;Tuesday;13469;17;partly-cloudy-day;
Planken (Ost), Mannheim;2020-05-06 00:00:00 +0200;Wednesday;13884;19;clear-day;
Planken (Ost), Mannheim;2020-05-07 00:00:00 +0200;Thursday;14214;23;clear-day;
Planken (Ost), Mannheim;2020-05-08 00:00:00 +0200;Friday;15632;26;cloudy;
Planken (Ost), Mannheim;2020-05-09 00:00:00 +0200;Saturday;20978;22;rain;
Planken (Ost), Mannheim;2020-05-10 00:00:00 +0200;Sunday;4739;26;rain;
Planken (Ost), Mannheim;2020-05-11 00:00:00 +0200;Monday;4316;18;rain;
Planken (Ost), Mannheim;2020-05-12 00:00:00 +0200;Tuesday;16060;15;partly-cloudy-day;
Planken (Ost), Mannheim;2020-05-13 00:00:00 +0200;Wednesday;12891;16;cloudy;
Planken (Ost), Mannheim;2020-05-14 00:00:00 +0200;Thursday;13914;15;partly-cloudy-day;
Planken (Ost), Mannheim;2020-05-15 00:00:00 +0200;Friday;16833;19;partly-cloudy-day;
Planken (Ost), Mannheim;2020-05-16 00:00:00 +0200;Saturday;25163;21;clear-day;
Planken (Ost), Mannheim;2020-05-17 00:00:00 +0200;Sunday;6342;20;clear-day;
Planken (Ost), Mannheim;2020-05-18 00:00:00 +0200;Monday;16024;25;clear-day;
Planken (Ost), Mannheim;2020-05-19 00:00:00 +0200;Tuesday;14896;26;clear-day;
Planken (Ost), Mannheim;2020-05-20 00:00:00 +0200;Wednesday;15758;25;clear-day;
Planken (Ost), Mannheim;2020-05-21 00:00:00 +0200;Thursday;5766;27;clear-day;
Planken (Ost), Mannheim;2020-05-22 00:00:00 +0200;Friday;21691;27;rain;
Planken (Ost), Mannheim;2020-05-23 00:00:00 +0200;Saturday;17907;20;rain;
