location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Große Bleichen, Hamburg;2020-07-11 00:00:00 +0200;Saturday;17539;19;clear-day;
Große Bleichen, Hamburg;2020-07-12 00:00:00 +0200;Sunday;3055;20;clear-day;
Große Bleichen, Hamburg;2020-07-13 00:00:00 +0200;Monday;9411;23;clear-day;
Große Bleichen, Hamburg;2020-07-14 00:00:00 +0200;Tuesday;7900;21;rain;
Große Bleichen, Hamburg;2020-07-15 00:00:00 +0200;Wednesday;9569;20;rain;
Große Bleichen, Hamburg;2020-07-16 00:00:00 +0200;Thursday;10231;22;partly-cloudy-day;
Große Bleichen, Hamburg;2020-07-17 00:00:00 +0200;Friday;14916;24;clear-day;
Große Bleichen, Hamburg;2020-07-18 00:00:00 +0200;Saturday;17006;26;partly-cloudy-day;
Große Bleichen, Hamburg;2020-07-19 00:00:00 +0200;Sunday;109;27;cloudy;
Große Bleichen, Hamburg;2020-07-19 00:00:00 +0200;Sunday;4271;;;
Große Bleichen, Hamburg;2020-07-20 00:00:00 +0200;Monday;14743;21;rain;
Große Bleichen, Hamburg;2020-07-21 00:00:00 +0200;Tuesday;14840;20;rain;
Große Bleichen, Hamburg;2020-07-22 00:00:00 +0200;Wednesday;14969;20;partly-cloudy-day;
Große Bleichen, Hamburg;2020-07-23 00:00:00 +0200;Thursday;15508;23;partly-cloudy-day;
Große Bleichen, Hamburg;2020-07-24 00:00:00 +0200;Friday;15811;23;rain;
Große Bleichen, Hamburg;2020-07-25 00:00:00 +0200;Saturday;17921;25;rain;
Große Bleichen, Hamburg;2020-07-26 00:00:00 +0200;Sunday;4769;23;rain;
Große Bleichen, Hamburg;2020-07-27 00:00:00 +0200;Monday;15380;23;rain;
Große Bleichen, Hamburg;2020-07-28 00:00:00 +0200;Tuesday;15362;22;rain;
Große Bleichen, Hamburg;2020-07-29 00:00:00 +0200;Wednesday;16370;19;partly-cloudy-day;
Große Bleichen, Hamburg;2020-07-30 00:00:00 +0200;Thursday;16163;21;partly-cloudy-day;
Große Bleichen, Hamburg;2020-07-31 00:00:00 +0200;Friday;16653;27;partly-cloudy-day;
Große Bleichen, Hamburg;2020-08-01 00:00:00 +0200;Saturday;15588;28;rain;
Große Bleichen, Hamburg;2020-08-02 00:00:00 +0200;Sunday;5156;25;rain;
Große Bleichen, Hamburg;2020-08-03 00:00:00 +0200;Monday;16614;20;rain;
Große Bleichen, Hamburg;2020-08-04 00:00:00 +0200;Tuesday;17293;22;partly-cloudy-day;
Große Bleichen, Hamburg;2020-08-05 00:00:00 +0200;Wednesday;16006;28;partly-cloudy-day;
Große Bleichen, Hamburg;2020-08-06 00:00:00 +0200;Thursday;14632;32;clear-day;
Große Bleichen, Hamburg;2020-08-07 00:00:00 +0200;Friday;14345;32;clear-day;
Große Bleichen, Hamburg;2020-08-08 00:00:00 +0200;Saturday;15168;33;clear-day;
Große Bleichen, Hamburg;2020-08-09 00:00:00 +0200;Sunday;4352;32;cloudy;
Große Bleichen, Hamburg;2020-08-10 00:00:00 +0200;Monday;13386;33;clear-day;
Große Bleichen, Hamburg;2020-08-11 00:00:00 +0200;Tuesday;13651;33;clear-day;
Große Bleichen, Hamburg;2020-08-12 00:00:00 +0200;Wednesday;12596;32;partly-cloudy-day;
Große Bleichen, Hamburg;2020-08-13 00:00:00 +0200;Thursday;13892;31;clear-day;
Große Bleichen, Hamburg;2020-08-14 00:00:00 +0200;Friday;15062;30;rain;
Große Bleichen, Hamburg;2020-08-15 00:00:00 +0200;Saturday;15725;31;clear-day;
Große Bleichen, Hamburg;2020-08-16 00:00:00 +0200;Sunday;5009;32;clear-day;
Große Bleichen, Hamburg;2020-08-17 00:00:00 +0200;Monday;13284;29;rain;
Große Bleichen, Hamburg;2020-08-18 00:00:00 +0200;Tuesday;14703;25;rain;
Große Bleichen, Hamburg;2020-08-19 00:00:00 +0200;Wednesday;14342;26;partly-cloudy-day;
Große Bleichen, Hamburg;2020-08-20 00:00:00 +0200;Thursday;14258;27;rain;
Große Bleichen, Hamburg;2020-08-21 00:00:00 +0200;Friday;13609;26;rain;
Große Bleichen, Hamburg;2020-08-22 00:00:00 +0200;Saturday;16635;24;rain;
Große Bleichen, Hamburg;2020-08-23 00:00:00 +0200;Sunday;4530;20;rain;
Große Bleichen, Hamburg;2020-08-24 00:00:00 +0200;Monday;12004;19;rain;
